iter	RMSE
0	14.01956871
1	13.13655048
2	12.28233013
3	11.56481214
4	10.88906481
5	10.35629021
6	9.798392547
7	9.319854991
8	8.892502511
9	8.505337853
10	8.159337165
11	7.822165814
12	7.564003058
13	7.334561136
14	7.121420638
15	6.915553061
16	6.767686478
17	6.634228709
18	6.509803256
19	6.39640928
20	6.299366187
21	6.210864027
22	6.137967658
23	6.075053086
24	6.009147139
25	5.949122879
26	5.888537002
27	5.835415455
28	5.805223304
29	5.763495197
30	5.714054724
31	5.684771722
32	5.649656632
33	5.620883565
34	5.592609351
35	5.570498551
36	5.547309727
37	5.530545366
38	5.509764017
39	5.491422349
40	5.483409428
41	5.456484973
42	5.436542926
43	5.416249408
44	5.403788056
45	5.394082674
46	5.38270298
47	5.373047592
48	5.367355687
49	5.356924205
50	5.338603135
51	5.329324698
52	5.321743796
53	5.311918289
54	5.30038348
55	5.299066422
56	5.293553765
57	5.290331876
58	5.27764004
59	5.266776703
60	5.261627131
61	5.246544538
62	5.239052573
63	5.227586468
64	5.216167119
65	5.212711498
66	5.206367466
67	5.19870731
68	5.189247073
69	5.18039026
70	5.176822727
71	5.170421884
72	5.168955342
73	5.158980879
74	5.145395807
75	5.136311493
76	5.127009675
77	5.118277884
78	5.106934666
79	5.099161399
80	5.093166582
81	5.083778394
82	5.078311216
83	5.064811247
84	5.062725523
85	5.057779968
86	5.049449808
87	5.038612641
88	5.035343213
89	5.032209931
90	5.03139041
91	5.030152765
92	5.02693604
93	5.019451
94	5.009019589
95	5.00409041
96	4.997046321
97	4.994307459
98	4.994071751
99	4.992427038
