iter	Passed	Remaining
0	2	270
1	5	262
2	7	255
3	10	249
4	12	238
5	14	231
6	16	225
7	19	221
8	21	216
9	24	220
10	26	217
11	29	215
12	31	213
13	33	206
14	35	202
15	38	199
16	40	197
17	42	195
18	45	193
19	48	192
20	50	189
21	53	188
22	55	186
23	58	183
24	60	180
25	62	178
26	65	176
27	67	174
28	69	170
29	72	168
30	74	165
31	76	163
32	79	161
33	81	158
34	84	156
35	86	154
36	89	151
37	91	149
38	93	147
39	96	144
40	98	141
41	100	138
42	103	136
43	105	134
44	108	132
45	110	129
46	112	127
47	115	125
48	117	121
49	119	119
50	122	118
51	125	116
52	130	115
53	134	114
54	137	112
55	138	108
56	141	106
57	143	103
58	145	101
59	148	98
60	151	96
61	156	95
62	159	93
63	162	91
64	168	90
65	172	89
66	175	86
67	180	85
68	184	82
69	188	80
70	191	78
71	194	75
72	197	73
73	200	70
74	204	68
75	207	65
76	210	62
77	213	60
78	216	57
79	220	55
80	223	52
81	226	49
82	234	48
83	239	45
84	242	42
85	244	39
86	248	37
87	252	34
88	255	31
89	257	28
90	259	25
91	263	22
92	267	20
93	270	17
94	272	14
95	274	11
96	282	8
97	286	5
98	288	2
99	292	0
