iter	Passed	Remaining
0	118	118328
1	124	61893
2	129	43057
3	132	32995
4	138	27551
5	143	23709
6	145	20706
7	148	18448
8	153	16893
9	172	17094
10	184	16586
11	188	15549
12	192	14640
13	199	14083
14	212	13939
15	215	13273
16	243	14104
17	248	13541
18	259	13396
19	262	12847
20	264	12352
21	274	12208
22	287	12192
23	290	11795
24	295	11530
25	299	11220
26	302	10887
27	304	10569
28	315	10565
29	318	10306
30	324	10146
31	330	9988
32	333	9770
33	339	9659
34	346	9562
35	353	9476
36	358	9323
37	365	9254
38	368	9089
39	382	9190
40	386	9051
41	392	8952
42	399	8895
43	405	8814
44	411	8738
45	414	8604
46	417	8465
47	429	8515
48	431	8382
49	443	8432
50	452	8411
51	458	8355
52	465	8317
53	469	8229
54	501	8614
55	504	8507
56	507	8388
57	513	8338
58	515	8229
59	519	8137
60	530	8162
61	533	8069
62	536	7973
63	542	7931
64	545	7846
65	548	7760
66	551	7676
67	557	7642
68	561	7575
69	564	7505
70	570	7465
71	575	7416
72	578	7345
73	582	7288
74	589	7266
75	592	7200
76	601	7208
77	621	7343
78	632	7379
79	637	7328
80	643	7299
81	659	7388
82	663	7326
83	667	7284
84	670	7220
85	673	7156
86	691	7253
87	700	7260
88	703	7203
89	706	7145
90	719	7189
91	722	7130
92	728	7107
93	731	7053
94	734	7000
95	737	6941
96	744	6928
97	747	6875
98	762	6939
99	766	6899
100	774	6889
101	777	6841
102	782	6818
103	795	6855
104	798	6805
105	809	6823
106	847	7072
107	857	7082
108	871	7120
109	874	7079
110	879	7047
111	891	7068
112	894	7023
113	910	7075
114	913	7033
115	922	7029
116	924	6978
117	957	7160
118	971	7194
119	977	7166
120	986	7162
121	993	7146
122	1005	7167
123	1010	7135
124	1019	7138
125	1031	7151
126	1041	7161
127	1048	7143
128	1056	7133
129	1067	7144
130	1080	7166
131	1114	7325
132	1117	7285
133	1121	7250
134	1129	7237
135	1136	7219
136	1155	7279
137	1159	7240
138	1193	7395
139	1206	7408
140	1217	7419
141	1221	7378
142	1225	7344
143	1231	7320
144	1235	7287
145	1239	7248
146	1242	7208
147	1251	7202
148	1255	7169
149	1257	7127
150	1270	7141
151	1284	7164
152	1310	7252
153	1314	7219
154	1318	7186
155	1323	7161
156	1326	7121
157	1330	7090
158	1338	7078
159	1341	7044
160	1343	6999
161	1346	6965
162	1351	6938
163	1355	6907
164	1359	6879
165	1361	6842
166	1367	6820
167	1379	6830
168	1394	6856
169	1402	6848
170	1408	6830
171	1414	6808
172	1417	6777
173	1422	6750
174	1424	6717
175	1427	6682
176	1442	6705
177	1461	6750
178	1468	6736
179	1473	6714
180	1477	6686
181	1482	6664
182	1502	6706
183	1505	6674
184	1508	6645
185	1510	6611
186	1519	6604
187	1536	6635
188	1540	6609
189	1550	6611
190	1554	6583
191	1556	6552
192	1565	6544
193	1568	6517
194	1581	6529
195	1604	6582
196	1622	6615
197	1632	6612
198	1638	6593
199	1647	6590
200	1650	6559
201	1679	6634
202	1682	6605
203	1693	6608
204	1697	6581
205	1700	6555
206	1707	6541
207	1722	6559
208	1725	6529
209	1730	6509
210	1736	6492
211	1740	6468
212	1744	6446
213	1747	6416
214	1751	6393
215	1755	6371
216	1758	6346
217	1761	6318
218	1766	6300
219	1770	6277
220	1773	6250
221	1775	6223
222	1779	6199
223	1782	6174
224	1785	6149
225	1788	6123
226	1790	6097
227	1792	6070
228	1796	6047
229	1799	6023
230	1801	5997
231	1804	5971
232	1806	5946
233	1810	5927
234	1816	5913
235	1820	5893
236	1825	5876
237	1827	5852
238	1830	5827
239	1832	5802
240	1840	5795
241	1845	5779
242	1849	5761
243	1852	5740
244	1855	5718
245	1858	5695
246	1860	5672
247	1870	5672
248	1873	5652
249	1876	5630
250	1879	5607
251	1883	5589
252	1885	5568
253	1888	5546
254	1891	5525
255	1893	5502
256	1897	5485
257	1900	5464
258	1902	5443
